chtb_277.eng O O O O O O
NEWS O O O O O O
STORY O O O O O O

1994-08-31 O O O O O O
21:56:11 O O O O O O

Australia O O O O O O
Provides O O O O O O
China O O O O O O
With O O O O O O
a O O O O O O
Loan O O O O O O

Xinhua B-ORG O O O O O
News I-ORG O O O O O
Agency I-ORG O O O O O
, O O O O O O
Canberra B-GPE O O O O O
, O O O O O O
August O O O O O O
31st O O O O O O

The B-GPE O O O O O
Chinese I-GPE B-GPE O O O O
government I-GPE O O O O O
and O O O O O O
the B-GPE O O O O O
Australian I-GPE B-GPE O O O O
government I-GPE O O O O O
signed O O O O O O
an O O O O O O
agreement O O O O O O
today O O O O O O
, O O O O O O
wherein O O O O O O
the B-GPE O O O O O
Australian I-GPE B-GPE O O O O
party I-GPE O O O O O
would O O O O O O
provide O O O O O O
China B-GPE O O O O O
with O O O O O O
a O O O O O O
preferential O O O O O O
financial O O O O O O
loan O O O O O O
of O O O O O O
150 O O O O O O
million O O O O O O
Australian B-GPE O O O O O
dollars O O O O O O
. O O O O O O

According O O O O O O
to O O O O O O
the O O O O O O
agreement O O O O O O
, O O O O O O
this O O O O O O
loan O O O O O O
will O O O O O O
be O O O O O O
mainly O O O O O O
used O O O O O O
in O O O O O O
infrastructure O O O O O O
projects O O O O O O
such O O O O O O
as O O O O O O
telecommunications O O O O O O
, O O O O O O
municipal O O O O O O
water O O O O O O
supplies O O O O O O
and O O O O O O
sewage O O O O O O
treatments O O O O O O
, O O O O O O
etc O O O O O O
. O O O O O O

Lasting O O O O O O
for O O O O O O
two O O O O O O
days O O O O O O
, O O O O O O
the O O O O O O
' O O O O O O
94 O O O O O O
Development O O O O O O
Assistance O O O O O O
Cooperation O O O O O O
Annual O O O O O O
Meeting O O O O O O
between O O O O O O
the B-GPE O O O O O
Chinese I-GPE B-GPE O O O O
government I-GPE O O O O O
and O O O O O O
the B-GPE O O O O O
Australian I-GPE B-GPE O O O O
government I-GPE O O O O O
concluded O O O O O O
today O O O O O O
in O O O O O O
Melbourne B-GPE O O O O O
. O O O O O O

The B-PER O O O O O
Chinese I-PER B-GPE O O O O
delegation I-PER O O O O O
with I-PER O O O O O
Yongtu I-PER B-PER O O O O
Long I-PER I-PER O O O O
, I-PER O O O O O
assistant I-PER B-PER O O O O
minister I-PER I-PER O O O O
of I-PER I-PER O O O O
the I-PER I-PER B-ORG O O O
Ministry I-PER I-PER I-ORG O O O
